chunk_id,article_id,chunk_text,chunk_index,chunk_words,source,source_quality,published_at,company_tags,data_type,processed_at,prob_positive,prob_neutral,prob_negative,weighted_sentiment,sentiment_score,sentiment_label
83a132ef86609d3f8ae719a86c7834b8,e936e49b0a80374ac1b79921f807dbf7,"Nomura trims target price on this Tata Group stock, still sees nearly 30 upside. Do you hold?. Brokerage Nomura maintains a Buy rating on Indian Hotels Company Ltd. The target price is now Rs 800, a slight reduction. Nomura anticipates a limited impact in the fourth quarter of fiscal year 2026. Conditions are expected to normalize over the next two to three months. This outlook supports a positive medium-term view on the company.",0,73,economic_times,0.8,"Wed, 18 Mar 2026 13:43:32 +0530",sector,news,2026-03-18T08:36:45.431047,0.9261,0.0348,0.0392,0.8869,9.43,positive
4d4cd0f7b832c3f54b9318f21c2c832c,2e3a365bbf5118822f3236199d942eee,"Spicejet shares fall 3 , IndiGo erases morning gains after DGCA mandates 60 free seat selection. Airlines IndiGo and Spicejet saw their share prices dip after the DGCA mandated that at least 60 of flight seats must be offered without selection charges. This passenger-friendly directive also requires airlines to seat passengers on the same PNR together and transparently display passenger rights, especially during disruptions.",0,64,economic_times,0.8,"Wed, 18 Mar 2026 13:42:42 +0530",sector,news,2026-03-18T08:36:45.431047,0.0109,0.0166,0.9725,-0.9616,0.19,negative
e8db203e9468edbe13e49976be9bec53,d2fc22c3e2a70b417dc2cd16140d0975,"Iran-Israel war, pricey valuations drag metals, stocks plunge up to 15 since conflict began. Buy or sell 2025 s top sector?. Metal stocks, once among 2025 s top performers, have slipped up to 15 since the Iran Israel US conflict began on February 27. Despite showing resilience versus other sectors, high valuations and global risk-off sentiment are weighing on the space, leaving metals vulnerable to a deeper correction amid elevated macro uncertainty.",0,72,economic_times,0.8,"Wed, 18 Mar 2026 13:41:14 +0530",sector,news,2026-03-18T08:36:45.431047,0.0112,0.0174,0.9713,-0.9601,0.2,negative
9e450eb31648c88a38cca2261d6981b0,14d296e63b76d6de29325c57a09741cb,"Dhurandhar effect: PVR Inox shares jump 6 in three days; will Hamza's revenge fire up earnings?. PVR Inox shares have rallied as strong early trends for Dhurandhar: The Revenge raise expectations of a box office blockbuster. Analysts believe the film could significantly boost quarterly earnings, with robust advance bookings and multi-language release supporting higher footfalls and potentially lifting overall industry collections in a weak quarter.",0,65,economic_times,0.8,"Wed, 18 Mar 2026 13:13:21 +0530",sector,news,2026-03-18T08:36:45.431047,0.9509,0.0219,0.0272,0.9237,9.62,positive
8e4dcb7b09819b47cd0f0e052a67fb35,63df8624a0731875c280058b7f50a8aa,"Unique Picks: 10 stocks held by only one MF scheme in February; 4 jumped up to 140 . ETMarkets identified 24 stocks held exclusively by single mutual fund schemes, most declining sharply in FY26, while a few delivered strong gains, highlighting concentrated ownership risks and divergent performance trends.",0,48,economic_times,0.8,"Wed, 18 Mar 2026 12:59:00 +0530",sector,news,2026-03-18T08:36:45.431047,0.0195,0.0228,0.9577,-0.9383,0.31,negative
f7c6edd5f7b6a15e0e68ad4f6af39646,10f60dacfbd0f11104e569b8afba8f8b,"US Fed outcome today amid Iran war: What to expect and what it means for Indian markets. The US Federal Reserve is expected to hold rates amid rising uncertainty from the Iran conflict and mixed economic signals. Markets will closely track the Fed s commentary for cues on rate cuts. Indian equities may react to global liquidity trends, crude oil movement and potential FII flows influenced by US policy signals.",0,70,economic_times,0.8,"Wed, 18 Mar 2026 11:20:46 +0530",sector,news,2026-03-18T08:36:45.431047,0.1581,0.3199,0.5219,-0.3638,3.18,negative
13513e029ea41dc65b371b10e73aa740,b03698cf61d5abc826ca298e23fc9ea7,"Adani Power shares fall 2 , snap two-day gaining streak. Here is why. Adani Power shares declined after a recent rally as investors booked profits despite strong momentum in power stocks. The company continues to secure long-term power supply agreements and expand capacity. However, recent quarterly results showed a decline in profit and revenue, even as management remains optimistic about growth and execution.",0,63,economic_times,0.8,"Wed, 18 Mar 2026 11:13:43 +0530",sector,news,2026-03-18T08:36:45.431047,0.0115,0.0148,0.9737,-0.9623,0.19,negative
9773b7641a6d80feb4ddf9589baa3c85,a7e4f4a5c4f0deb7a2d32b5d2f0db3ee,"Hexaware Tech shares jump 5 on launch of Agentverse AI platform. Shares of Hexaware Technologies rose sharply after the launch of Agentverse, an enterprise AI platform with 600 agents. The offering aims to help companies move from AI pilots to full-scale deployment, driving productivity gains, faster response times, cost efficiencies, and improved customer experience.",0,54,economic_times,0.8,"Wed, 18 Mar 2026 11:07:17 +0530",sector,news,2026-03-18T08:36:45.431047,0.9543,0.0272,0.0185,0.9358,9.68,positive
e05f66a1fe79185cb107ae7098447908,3546558d1f0ab5eaff0f4542ff2b8f07,"War, Energy, and the Euro: The conflict that could test Europe s economy again. Rising tensions between the U.S. and Iran could reshape global markets, with energy disruption emerging as the biggest risk. Europe, still vulnerable after the Russia Ukraine crisis, faces renewed pressure from potential LNG shortages, higher inflation, and slower growth, while the euro may weaken further amid escalating geopolitical and economic uncertainty.",0,65,economic_times,0.8,"Wed, 18 Mar 2026 10:36:24 +0530",sector,news,2026-03-18T08:36:45.431047,0.0246,0.0235,0.9519,-0.9274,0.36,negative
67135eae6d0b7321d7338a39810e88b7,0bbe24481489c15c106b24bc8e040b49,"Rs 7 lakh crore added! Sensex jumps over 800 pts, Nifty reclaims 23,800 mark; 4 factors behind today's surge. Indian stock markets surged for a third consecutive session, with the Sensex and Nifty 50 climbing significantly. This rally was driven by easing oil prices, positive global market sentiment, and declining bond yields. Investors are also engaging in value buying after a recent selloff.",0,63,economic_times,0.8,"Wed, 18 Mar 2026 10:12:34 +0530",sector,news,2026-03-18T08:36:45.431047,0.9154,0.0231,0.0615,0.8539,9.27,positive
